feature,KS,PSI,JSD_bits,missing_shift,sim_n,sim_finite,sim_missing_fraction,sim_p01,sim_p05,sim_q25,sim_median,sim_q75,sim_iqr,sim_p95,sim_p99,cicids_n,cicids_finite,cicids_missing_fraction,cicids_p01,cicids_p05,cicids_q25,cicids_median,cicids_q75,cicids_iqr,cicids_p95,cicids_p99
flow.iat_s_min,0.973378456499438,7.693548593344236,0.6641470248589352,-0.45599631977251476,641,236,0.6318252730109204,20.359176635742188,22.267324447631836,28.85310125350952,35.60694885253906,44.325340270996094,15.472239017486572,58.36033344268799,59.702796936035156,1582538,1304282,0.17582895323840564,0.0,9.999999974752427e-07,3.000000106112566e-06,3.999999989900971e-06,4.8999998398358e-05,4.5999998292245436e-05,0.06513975001871469,69.00000762939453
flow.iat_s_mean,0.9691815113602733,7.568143910297403,0.6560544505111201,-0.45599631977251476,641,236,0.6318252730109204,20.359176635742188,24.00655746459961,29.69518232345581,37.03352355957031,44.325340270996094,14.630157947540283,58.36033344268799,59.702796936035156,1582538,1304282,0.17582895323840564,9.999999974752427e-07,9.999999974752427e-07,3.000000106112566e-06,0.010109666734933853,1.1243513226509094,1.1243483226508033,8.202876424789425,69.00000762939453
flow.pps,0.9655435820909342,7.413342572248174,0.6462178846857763,-0.45077180067723865,641,236,0.6318252730109204,0.03349926695227623,0.03427080437541008,0.04065237194299698,0.04659099131822586,0.05612405575811863,0.01547168381512165,0.0833105742931366,0.09823579341173172,1582538,1296014,0.18105347233368174,0.02869402902200818,0.13599960431456565,0.9959803223609924,129.92918395996094,666666.6875,666665.6915196776,2000000.0,2000000.0
flow.iat_s_max,0.9225213565777953,6.920869731192383,0.6114839456988652,-0.45599631977251476,641,236,0.6318252730109204,20.359176635742188,24.00655746459961,30.34626865386963,38.03133773803711,44.325340270996094,13.979071617126465,58.36033344268799,59.702796936035156,1582538,1304282,0.17582895323840564,9.999999974752427e-07,9.999999974752427e-07,3.000000106112566e-06,0.030161000788211823,5.692145347595215,5.692142347595109,58.31071815490722,85.19315742492668
flow.packet_count,0.45599631977251487,3.575063365854692,0.3635972331152731,0.0,641,641,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1582538,1582538,0.0,1.0,1.0,2.0,2.0,9.0,7.0,26.0,75.0
flow.psh_count,0.6484241714167155,2.637770594455627,0.34979853276751927,0.32356575905562335,641,443,0.3088923556942278,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1582538,581649,0.6324581147498511,0.0,0.0,1.0,3.0,5.0,4.0,12.0,24.0
flow.rst_count,0.19168089345980133,0.8829586128564356,0.13184512009281596,0.32356575905562335,641,443,0.3088923556942278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582538,581649,0.6324581147498511,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
flow.duration_s,0.45077180067723877,0.9948897651369576,0.12284382451995976,0.0,641,641,0.0,0.0,0.0,0.0,0.0,42.87812042236328,42.87812042236328,72.51210021972656,75.7168960571289,1582538,1582538,0.0,0.0,0.0,1.9999999949504854e-06,4.8000001697801054e-05,5.271891713142395,5.2718897131424,115.87333793640137,118.37570816040038
flow.urg_count,0.0,0.44714740611944687,0.07775486852957174,0.32356575905562335,641,443,0.3088923556942278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582538,581649,0.6324581147498511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protocol,0.32228048186164765,0.43974274242931005,0.07713626626962045,0.0,641,641,0.0,6.0,6.0,6.0,6.0,17.0,11.0,17.0,17.0,1582538,1582538,0.0,6.0,6.0,6.0,17.0,17.0,11.0,17.0,17.0
