population,feature,mean_abs_shap_probability,mean_signed_shap_probability,n,permutations
CICIDS_benign_DDoS_FP,flow.packet_count,0.014546140894594828,0.014546140894594828,128,32
CICIDS_benign_DDoS_FP,flow.duration_s,7.732494850642979e-06,-7.732494850642979e-06,128,32
CICIDS_benign_DDoS_FP,flow.pps,0.9707525695994264,0.9707525695994264,128,32
CICIDS_benign_DDoS_FP,flow.iat_s_mean,7.884383649070514e-06,4.765820904140128e-06,128,32
CICIDS_benign_DDoS_FP,flow.iat_s_min,1.4404475223273039e-05,1.4404475223273039e-05,128,32
CICIDS_benign_DDoS_FP,flow.iat_s_max,2.4740236540310434e-05,2.4740236540310434e-05,128,32
CICIDS_benign_DDoS_FP,flow.psh_count,9.215717227561981e-06,3.2697787446522852e-06,128,32
CICIDS_benign_DDoS_FP,flow.urg_count,3.989168817497557e-06,-1.998670541070169e-06,128,32
CICIDS_benign_DDoS_FP,flow.rst_count,3.144909328511858e-05,3.144909328511858e-05,128,32
simulation_benign,flow.packet_count,0.0,0.0,128,32
simulation_benign,flow.duration_s,0.0,0.0,128,32
simulation_benign,flow.pps,0.0,0.0,128,32
simulation_benign,flow.iat_s_mean,0.0,0.0,128,32
simulation_benign,flow.iat_s_min,0.0,0.0,128,32
simulation_benign,flow.iat_s_max,0.0,0.0,128,32
simulation_benign,flow.psh_count,0.0,0.0,128,32
simulation_benign,flow.urg_count,0.0,0.0,128,32
simulation_benign,flow.rst_count,0.0,0.0,128,32
