population,stage,head,feature,mean_abs_SHAP_log_odds,mean_signed_SHAP_log_odds,n
CICIDS_benign_DDoS_FP,base,DDoS,flow.packet_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,flow.duration_s,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,flow.pps,5.358566761016846,5.358566761016846,512
CICIDS_benign_DDoS_FP,base,DDoS,flow.iat_s_mean,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,flow.iat_s_min,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,flow.iat_s_max,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,flow.psh_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,flow.urg_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,flow.rst_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.packet_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.duration_s,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.pps,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.iat_s_mean,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.iat_s_min,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.iat_s_max,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.psh_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.urg_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,mask:flow.rst_count,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,latent_0,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,latent_1,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,latent_2,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,latent_3,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,latent_4,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,latent_5,0.0,0.0,512
CICIDS_benign_DDoS_FP,base,DDoS,latent_6,0.0,0.0,512
