removed,benign_fpr,ddos_f1,ddos_auc,scan_f1,scan_recall,scan_fpr_all_non_scan,raw_ddos_auc
packet_count,0.5990270059865861,0.004298257814708297,0.3842738695070589,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.38427386950705894
duration_s,0.20932388353391831,0.012078586492568188,0.3068017117812297,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.3506463687645641
pps,0.7016021100283216,0.15598535678479364,0.7432000819901644,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.7229377216721541
iat_s_mean,0.5872629914731905,0.004298257814708297,0.09753349664248484,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.15619936898895337
iat_s_min,0.5882557006530017,0.004298257814708297,0.09582253176196896,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.15627944905578528
iat_s_max,0.6036752356025574,0.004298257814708297,0.10029179824776614,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.15921615953714302
psh_count,0.7059274406049018,0.0042804554404588645,0.26928251539257336,0.0,0.0,0.0,0.4456957403660392
urg_count,0.603789608843516,0.004298257814708297,0.12164238410291857,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.18283198027933334
rst_count,0.6214808112032697,0.004298257814708297,0.12126001167136309,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.18185208213089446
all_timing,0.2076727383481471,0.0,0.956195131134688,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.9561951311346879
protocol_proxies,0.6275830343410396,0.004298354241820564,0.2449658880757068,0.0,0.0,0.0,0.21881667491773274
visibility_context_only,0.7019913581853958,0.004298257814708297,0.20014780583766434,0.8507829927889069,0.9946324832238025,0.04242500441386542,0.4137724644625253
