variant,population,group,threshold,orientation,n,finite,missing_fraction,p01,p05,p10,p50,p90,p95,p99
V2,simulation,benign,1.0,higher=positive,213,213,0.0,0.0022522523067891598,0.0022522523067891598,0.0022522523067891598,0.0022522523067891598,0.0022522523067891598,0.0022522523067891598,0.0022522523067891598
V2,simulation,ddos,1.0,higher=positive,180,180,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
V2,CICIDS,benign,1.0,higher=positive,150000,150000,0.0,0.002252252073958516,0.002252252073958516,0.002252252073958516,1.0,1.0,1.0,1.0
V2,CICIDS,ddos,1.0,higher=positive,95144,95144,0.0,0.002252252073958516,0.002252252073958516,0.002252252073958516,0.002252252073958516,0.0022522523067891598,0.0022522523067891598,1.0
V3_additive,simulation,benign,0.85,higher=positive,93,93,0.0,0.0,0.005494505167007446,0.005494505260139703,0.005494505632668734,0.3571428656578064,0.7833333253860466,0.9922480583190918
V3_additive,simulation,ddos,0.85,higher=positive,252,252,0.0,0.3571428656578064,0.75,0.75,0.931506872177124,1.0,1.0,1.0
V3_additive,CICIDS,benign,0.85,higher=positive,150000,150000,0.0,0.005494505167007446,0.005494505167007446,0.005494505167007446,0.005494505632668734,0.125,0.147700235247612,0.9958772659301758
V3_additive,CICIDS,ddos,0.85,higher=positive,95144,95144,0.0,0.005494505632668734,0.005494505632668734,0.005494505632668734,0.005494505632668734,0.005494505632668734,0.005494505632668734,0.005494505632668734
V3_final_flow,simulation,benign,0.85,higher=positive,93,93,0.0,0.0,0.0,0.0,0.0,0.78125,0.9162736177444455,1.0
V3_final_flow,simulation,ddos,0.85,higher=positive,252,252,0.0,0.3333333432674408,0.6666667461395264,0.78125,0.9024389982223511,0.9848207831382751,1.0,1.0
V3_final_flow,CICIDS,benign,0.85,higher=positive,150000,150000,0.0,0.0,0.0,0.0,0.0,0.1666666865348816,0.7812499403953552,0.78125
V3_final_flow,CICIDS,ddos,0.85,higher=positive,95144,95144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
