threshold,tp,fp,fn,tn,benign_fp,benign_total,benign_fpr,precision,recall,f1,specificity,balanced_accuracy,mcc
0.0,800,4200,0,0,3000,3000,1.0,0.16,1.0,0.275862,0.0,0.5,0.0
0.036894362,800,3938,0,262,2784,3000,0.928,0.168848,1.0,0.288913,0.062381,0.53119,0.10263
0.08177857,800,3937,0,263,2783,3000,0.927667,0.168883,1.0,0.288965,0.062619,0.53131,0.102836
0.09847483,800,3936,0,264,2782,3000,0.927333,0.168919,1.0,0.289017,0.062857,0.531429,0.103043
0.11920874,800,3935,0,265,2781,3000,0.927,0.168955,1.0,0.28907,0.063095,0.531548,0.103248
0.2778548,800,3930,0,270,2777,3000,0.925667,0.169133,1.0,0.289331,0.064286,0.532143,0.104273
0.29924867,800,3792,0,408,2663,3000,0.887667,0.174216,1.0,0.296736,0.097143,0.548571,0.130092
0.40666142,800,3791,0,409,2662,3000,0.887333,0.174254,1.0,0.296791,0.097381,0.54869,0.130265
0.49062183,800,3787,0,413,2658,3000,0.886,0.174406,1.0,0.297011,0.098333,0.549167,0.130958
0.5,800,3783,0,417,2654,3000,0.884667,0.174558,1.0,0.297232,0.099286,0.549643,0.131648
0.51475763,800,3783,0,417,2654,3000,0.884667,0.174558,1.0,0.297232,0.099286,0.549643,0.131648
0.8118786,800,3782,0,418,2653,3000,0.884333,0.174596,1.0,0.297287,0.099524,0.549762,0.13182
0.8540555,800,3473,0,727,2383,3000,0.794333,0.187222,1.0,0.315395,0.173095,0.586548,0.18002
0.9,800,2179,0,2021,1263,3000,0.421,0.268546,1.0,0.423392,0.48119,0.740595,0.359475
0.95,800,2179,0,2021,1263,3000,0.421,0.268546,1.0,0.423392,0.48119,0.740595,0.359475
0.99,800,2179,0,2021,1263,3000,0.421,0.268546,1.0,0.423392,0.48119,0.740595,0.359475
1.0,800,2179,0,2021,1263,3000,0.421,0.268546,1.0,0.423392,0.48119,0.740595,0.359475
